id,pipeline,schema_valid,bounds_safe,correct,payload_bytes,final_angle,latency_us
88,RAW_LLM,True,True,True,38,-16.2,4.966
89,MTP_DSL,True,True,False,54,-34.1,12.956
89,RAW_LLM,True,True,True,61,80.6,7.472
90,MTP_DSL,True,True,True,53,0.0,7.725
90,RAW_LLM,True,True,True,27,0.0,4.796
91,MTP_DSL,True,True,True,53,37.6,14.678
91,RAW_LLM,True,True,True,84,37.6,10.445
92,MTP_DSL,True,True,True,53,90.0,8.998
92,RAW_LLM,False,False,False,35,279.8,5.927
93,MTP_DSL,True,True,True,53,90.0,9.691
93,RAW_LLM,False,False,False,37,169.5,7.11
94,MTP_DSL,True,True,True,54,75.0,8.566
94,RAW_LLM,True,True,True,36,75.0,5.292
95,MTP_DSL,True,True,True,55,-23.3,9.604
95,RAW_LLM,True,True,True,37,-23.3,5.514
96,MTP_DSL,True,True,True,52,0.0,9.01
96,RAW_LLM,True,True,True,27,0.0,5.918
97,MTP_DSL,True,True,True,53,47.7,10.066
97,RAW_LLM,True,True,True,36,47.7,7.305
98,MTP_DSL,True,True,False,54,-12.1,10.147
98,RAW_LLM,True,True,True,59,70.3,7.931
99,MTP_DSL,True,True,True,55,-34.9,9.133
99,RAW_LLM,True,True,True,37,-34.9,5.533
100,MTP_DSL,True,True,True,52,0.0,8.571
100,RAW_LLM,True,True,True,27,0.0,5.848
101,MTP_DSL,True,True,True,54,-11.6,9.27
101,RAW_LLM,True,True,True,35,-11.6,3.634
102,MTP_DSL,True,True,True,54,-90.0,6.324
102,RAW_LLM,False,False,False,38,-186.3,4.951
103,MTP_DSL,True,True,True,53,-1.9,10.344
103,RAW_LLM,True,True,True,82,-1.9,5.023
104,MTP_DSL,True,True,True,54,-8.6,6.093
104,RAW_LLM,True,True,True,36,-8.6,3.695
105,MTP_DSL,True,True,True,55,-17.1,7.889
105,RAW_LLM,True,True,True,85,-17.1,4.933
106,MTP_DSL,True,True,True,54,81.0,8.068
106,RAW_LLM,True,True,True,84,81.0,4.721
107,MTP_DSL,True,True,True,54,-44.5,8.96
107,RAW_LLM,True,True,True,85,-44.5,6.173
108,MTP_DSL,True,True,True,53,17.4,5.849
108,RAW_LLM,True,True,True,36,17.4,3.86
109,MTP_DSL,True,True,True,54,65.1,5.57
109,RAW_LLM,True,True,True,36,65.1,3.462
110,MTP_DSL,True,True,True,52,0.0,4.508
110,RAW_LLM,True,True,True,25,0.0,3.14
111,MTP_DSL,True,True,True,53,84.1,5.093
111,RAW_LLM,True,True,True,37,84.1,3.316
112,MTP_DSL,True,True,True,54,-51.4,6.089
112,RAW_LLM,True,True,True,37,-51.4,3.862
113,MTP_DSL,True,True,True,54,-5.4,5.082
113,RAW_LLM,True,True,True,36,-5.4,3.521
114,MTP_DSL,True,True,False,52,4.1,7.287
114,RAW_LLM,True,True,True,59,79.0,4.363
115,MTP_DSL,True,True,False,52,4.7,8.074
115,RAW_LLM,True,True,True,59,61.2,4.818
